"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","51","N","2021096964","3","1","","3","12","Y","CHEV","2008","01","1","","1","00","S","060","","","1","01","03","01","03","PA","1","04","1GCCS14EX88","TPK"
"","04","N","2021095777","3","1","","1","01","Y","VOLK","2016","01","1","","1","00","S","999","","","1","01","03","01","01","PA","1","01","3VW267AJ2GM","P4D"
"","69","N","2021062808","1","1","","1","06","Y","HYUN","2019","02","3","","1","00","N","000","","","2","01","05","03","06","PA","2","06","5NMS3CAD7KH","T"
"","15","N","2021078650","3","1","","2","12","Y","HYUN","2013","01","2","","1","00","E","065","","","1","01","04","01","03","WV","1","06","KM8JUCAC3DU","T4W"
"","15","N","2021074853","1","1","","1","06","Y","NISS","2015","01","1","","1","00","N","000","0","","2","01","05","03","01","PA","3","01","5N1AT2MV4FC","T4W"
"","04","N","2021088429","1","1","","3","02","Y","MAZD","2015","02","1","","1","00","W","005","0","","1","01","03","12","98","PA","1","01","JM1GJ1V58F1","P4D"
"","09","N","2021100933","3","1","","1","11","Y","KIA","2019","01","1","","4","00","N","060","","","2","01","05","16","06","PA","1","01","3KPF24AD7KE","P"
"","09","N","2021094606","3","1","","2","12","Y","NISS","2020","02","1","","4","00","E","055","","","2","01","07","16","03","PA","1","06","JN1BJ1CW9LW","P"
"","04","N","2021113593","3","2","","2","06","U","NISS","2010","","0","","3","00","","000","","","2","02","07","06","01","PA","2","01","1N4AL2AP2AN","P4D"
"","15","N","2021107252","3","1","","5","07","Y","BUIC","2017","01","1","","1","00","W","000","","","2","01","03","03","03","PA","2","06","LRBFXDSA4HD","T4W"
"","69","N","2021116908","3","1","","1","12","Y","BUIC","2020","01","1","","1","00","N","055","","","1","01","05","01","03","PA","1","06","KL4MMGSL2LB","T"
"","69","N","2021111497","2","1","","1","01","Y","SUBA","2018","01","2","","1","00","S","035","","","1","01","04","01","05","PA","1","06","JF2SJALCXJH","T"
"","15","N","2021085531","1","1","","1","06","Y","HYUN","2016","01","3","","1","00","E","025","0","","1","01","07","03","03","PA","2","01","5XYZU3LB2GG","T4W"
"","15","N","2021064488","3","1","","1","03","U","FORD","2016","01","1","","1","00","W","999","","","1","01","03","01","06","PA","3","06","1FM5K8HT9GG","T4W"
"","15","N","2021060430","3","1","","2","12","Y","SUBA","2010","02","1","","1","00","E","999","0","","1","01","07","01","01","PA","1","06","JF2SH6CC3AH","T4W"
"","15","N","2021062018","1","1","","3","06","Y","SUBA","2016","01","1","","1","00","W","999","","","2","01","04","01","01","PA","2","06","JF2SJAFC4GH","T4W"
